ID;Raison Sociale;Activité;Adresse;Localisation;Coordinates;CODE POSTAL;Secteur géographique;Responsable de l'entreprise;Téléphone entreprise;Téléphone Portable;Mail;Site internet de l'entreprise;Logo
ENT-0001;Agence CENTURY 21 Riquelme Immobilier;Agence Immobilière ;1029 Boulevard Blaise Doumerc 82000 Montauban;Agence CENTURY 21 Riquelme Immobilier 1029 Boulevard Blaise Doumerc 82000 Montauban;44.0210145,1.3617315;82000;MONTAUBAN;Nicolas RIQUELME;05 63 91 63 33;;riquelme.immobilier@century21france.fr;https://www.century21riquelmeimmobilier.com/;https://www.century21-aravis-grand-bornand.com/imagesBien/202/225/v5/1539619140.jpg
ENT-0002;Agence Nestenn Immobilier Montauban Lacapelle;Agence Immobilière ;119 Fbg Lacapelle 82000 Montauban;Agence Nestenn Immobilier Montauban Lacapelle 119 Fbg Lacapelle 82000 Montauban;44.01519210000001,1.3573252;82000;MONTAUBAN;;05 63 20 36 02;;blazy.immobilier@nestenn.com;https://immobilier-montauban-lacapelle.nestenn.com/;https://nestenn.com/public/img/defaut_logo.jpg
ENT-0003;Agence Immobilière Montauban : ARTHURIMMO Grand Montauban;Agence Immobilière ;12 Place Franklin Roosevelt 82000 Montauban;Agence Immobilière Montauban : ARTHURIMMO Grand Montauban 12 Place Franklin Roosevelt 82000 Montauban;44.0156684,1.3538847;82000;MONTAUBAN;;05 82 17 01 20;;montauban@arthurimmo.com;https://www.arthurimmo.com/immobilier/tout/immo-montauban-82;https://tse3.mm.bing.net/th/id/OIP.D1YnHq7lTB1qF6WJSy2g9gHaHa?r=0&pid=Api&h=220&P=0
ENT-0004;Human Immobilier Montauban;Agence Immobilière ;14 Place Franklin Roosevelt 82000 Montauban;Human Immobilier Montauban 14 Place Franklin Roosevelt 82000 Montauban;44.0159639,1.3541017;82000;MONTAUBAN;;05 63 66 07 72;;;https://www.human-immobilier.fr/montauban;https://cdn.jobijoba.com/files/smartforum/mb_cci_gers/business_directory/8f/8f715575-9b80-4502-a281-e8c0800d573c.jpg
ENT-0258;Citya Naudin;Agence Immobilière ;3 place Prax Paris 82000 Montauban;Citya Naudin 3 place Prax Paris 82000 Montauban;44.0172899,1.3578406;82000;MONTAUBAN;;05 63 63 37 40;;;https://www.citya.com/agences-immobilieres/montauban-82000/391;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZdPrtrfhJoMgce_4WFUirSpfR0GP3oC5Mg_elRlcQLw&s=10
ENT-0006;Agence Immobilière LAFORET Montauban;Agence Immobilière ;15 Allée. de l'Empereur 82000 Montauban;Agence Immobilière LAFORET Montauban 15 Allée. de l'Empereur 82000 Montauban;44.0170633,1.3565251;82000;MONTAUBAN;;05 63 91 76 26;;;http://www.laforet.com/agence-immobiliere/montauban;https://www.pagesjaunes.fr/media/newdam/preset-viewer-xl/cf/ad/2d/00/00/35/00/ac/4f/30/66b0cfad2d00003500ac4f30/66b0cfad2d0000bb53ac4f31.png
ENT-0007;DLimmobilier Dompeyre ;Agence Immobilière ;15 Rue du marché  82200 Moissac;DLimmobilier Dompeyre  15 Rue du marché  82200 Moissac;44.1029845,1.0867956;82200;MOISSAC;David Lestrade;05 63 04 01 75;;gestion[a]dompeyre-lestrade.com;https://dl-immo.fr/;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8UzC48cEDPRDAt6qwjbmuCeoHz-4XJcCbUEtS09LqAfQDhJeZ37X2pPeM&s=10
ENT-0008;ORPI Teddy Immobilier Montauban;Agence Immobilière ;17 Avenue Gambetta 82000 Montauban;ORPI Teddy Immobilier Montauban 17 Avenue Gambetta 82000 Montauban;44.0166867,1.3581855;82000;MONTAUBAN;;05 63 63 35 36;;;https://www.orpi.com/teddyimmobilier/;https://www.pagesjaunes.fr/media/agc/crop/200x200/09/6b/df/00/00/64/ef/4d/16/c8/61ae096bdf000064ef4d16c8/61ae096bdf000064ef4d16c9.png?v=2
ENT-0009;Human Immobilier Montauban Villenouvelle;Agence Immobilière ;2 Avenue du 11E d'Infanterie 82000 Montauban;Human Immobilier Montauban Villenouvelle 2 Avenue du 11E d'Infanterie 82000 Montauban;44.0223733,1.3553942;82000;MONTAUBAN;;05 63 03 87 00;;;https://www.human-immobilier.fr/montauban-villenouvelle?utm_source=google&utm_medium=seo&utm_campaign=google_my_business_achat;https://www.pagesjaunes.fr/media/agc/crop/100x100/07/8c/b2/00/00/96/37/97/c1/9d/62b3078cb20000963797c19d/62b3078cb20000963797c19e.png?v=2
ENT-0010;Castel Immo ;Agence Immobilière ;2 bis Rue Edouard Herriot 82100 Castelsarrasin;Castel Immo  2 bis Rue Edouard Herriot 82100 Castelsarrasin;44.0398906,1.1080931;82100;CASTELSARRASIN;GAINZA dominique;05 63 32 73 21;;castelimmobilier.vente@orange.fr;https://www.castelimmobilier.com/;https://castelsarrasin-immobilier.fr/wp-content/uploads/2021/10/header-logo.png
ENT-0011;Selection Habitat ;Agence Immobilière ;20 Allée de l'empereur 82200 Montauban;Selection Habitat  20 Allée de l'empereur 82200 Montauban;44.0176467,1.3572098;82000;MONTAUBAN;;05 63 22 94 25;;;https://www.selectionhabitat.com/;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVFq0yk_3MQyph5SRFRt8W6VvGTMzdh9CM90AW7BitTQ&s=10
ENT-0012;IMMO POUR TOUS;Agence Immobilière ;26 Rue du général Gras 82200 Moissac;IMMO POUR TOUS 26 Rue du général Gras 82200 Moissac;44.1046136,1.0892457;82200;MOISSAC;;05 63 04  11 82;;contact@immo-pour-tous.net;https://www.immo-pour-tous.net/;https://lh5.googleusercontent.com/p/AF1QipMAQL3okLrQ7JcaSpkEWqJRk9Vz8cCqEkb9CIKq=w500-h500-k-no
ENT-0013;Orpi Moissac ;Agence Immobilière ;3 Boulevard  Camille Delthil 82200 Moissac;Orpi Moissac  3 Boulevard  Camille Delthil 82200 Moissac;44.1026707,1.0866251;82200;MOISSAC;ROUX francine;05 63 05 10 10;06 29 43 17 82;moissacimmobilier@orpi.com;http://www.orpi.com/moissacimmobilier;https://www.pagesjaunes.fr/media/agc/8d/14/2e/00/00/22/be/90/fe/9a/65c38d142e000022be90fe9a/65c38d142e000022be90fe9b.png
ENT-0014;Agence immobilière Guy Hoquet MONTAUBAN;Agence Immobilière ;40 Avenue Gambetta 82000 Montauban;Agence immobilière Guy Hoquet MONTAUBAN 40 Avenue Gambetta 82000 Montauban;44.018068,1.3593198;82000;MONTAUBAN;;05 63 03 88 10;;;https://montauban.guy-hoquet.com/;https://files.appli-intramuros.com/img/actor_cover/6240/c56cf95cc36eeceb78b62762dc740b2d_guy-hoquet.png
ENT-0015;Agence Chabrol Immobilier Montauban;Agence Immobilière ;416 Avenue Jean Moulin 82000 Montauban;Agence Chabrol Immobilier Montauban 416 Avenue Jean Moulin 82000 Montauban;44.0265462,1.367177;82000;MONTAUBAN;;05 63 63 66 05;;;https://www.maisonsetappartements.fr/fr/tarn-et-garonne-82/chabrol-immobilier-montauban-6509/agence-immobiliere.html;https://medias.maisonsetappartements.fr/pict/Agences/Logos/8924.jpg?t=1605881244
ENT-0016;Escalimmo sarl nh'immo;Agence Immobilière ;5 Avenue du Chasselas  82200 Moissac;Escalimmo sarl nh'immo 5 Avenue du Chasselas  82200 Moissac;44.1073647,1.0966218;82200;MOISSAC;Alexandre Lafon ;05 63 32 44 93;;;https://www.meilleursagents.com/agence-immobiliere/agence-sarl-nh-immo-37018/;https://www.societe.com/og-image/500691035.jpg
ENT-0017;Agence Nestenn Immobilier Montauban Gambetta;Agence Immobilière ;52 Avenue Gambetta 82000 Montauban;Agence Nestenn Immobilier Montauban Gambetta 52 Avenue Gambetta 82000 Montauban;44.0188354,1.3596925;82000;MONTAUBAN;;05 63 20 76 60;;;https://immobilier-montauban-gambetta.nestenn.com/;https://thumbor.meilleursagents.com/aOwVEggk47j0IzACnywN_XU4Ifc=/fit-in/180x120/filters:fill(white)/realtors/f0/19/f019ffb2123876a7889f3677b5cfee9ec3e78e3f.43375.png
ENT-0018;Human immobilier Castelsarrasin;Agence Immobilière ;64 Rue de l'égalité 82100 CASTELSARRASIN;Human immobilier Castelsarrasin 64 Rue de l'égalité 82100 CASTELSARRASIN;44.0395328,1.1078569;82100;CASTELSARRASIN;Desbouges;05 63 05 08 20;06 76 80 46 19;castelsarrasin@bourse-immobilier.fr;https://www.human-immobilier.fr/castelsarrasin?utm_source=google&utm_medium=seo&utm_campaign=google_my_business_achat;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMeZ7FN-TBUgk4DMOGlz1b7wYN7GD7_DSA2DD2aa9bkA&s
ENT-0019;Human immobilier Moissac;Agence Immobilière ;7 Rue de la république  82200 Moissac;Human immobilier Moissac 7 Rue de la république  82200 Moissac;44.1043952,1.0848656;82200;MOISSAC;Chretien Fréderic ; 05 63 39 70 27;;;https://www.human-immobilier.fr/moissac;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMeZ7FN-TBUgk4DMOGlz1b7wYN7GD7_DSA2DD2aa9bkA&s
ENT-0020;Agence immobilère Lafôret Moissac;Agence Immobilière ;9 Place des Récollets 82200 Moissac;Agence immobilère Lafôret Moissac 9 Place des Récollets 82200 Moissac;44.10328,1.0850153;82200;MOISSAC;Mathieu Richard;05 63 05 05 50;;;http://www.laforet.com;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRiMgdNoPpzMl2pAumZ6cOxWi3iBm0e82OLSLhzX2fi9g&s
ENT-0021;ORPI Atout Immobilier Montauban;Agence Immobilière ;970 Boulevard Blaise Doumerc 82000 Montauban;ORPI Atout Immobilier Montauban 970 Boulevard Blaise Doumerc 82000 Montauban;44.020726,1.3625417;82000;MONTAUBAN;;05 63 21 00 26;;atoutimmobilier@orpi.com;https://www.orpi.com/atoutimmobilier/;https://drive.google.com/file/d/1h59Euf5szcW5E0PIhMASPcxwi-Xpy3kF/view?usp=share_link
ENT-0022;Ford Castelsarrasin- ASCM MOISSAC AUTO;Concession automobile;141 Chemin de la Chaumière ZI ARTEL EST 82100 Castelsarrasin;Ford Castelsarrasin- ASCM MOISSAC AUTO 141 Chemin de la Chaumière ZI ARTEL EST 82100 Castelsarrasin;44.0584292,1.0997366;82100;CASTELSARRASIN;;05 63 95 07 57;;;https://www.groupemacard.fr/concessions/ford-ascm-castelsarrasin/;https://cdnwp.dealerk.com/4e2ba540/uploads/sites/6/2024/08/sans-titre-6-0x75.jpg
ENT-0023;Toyota - Edenauto - Montauban;Concession automobile;150 Imp. de Monaco 82000 Montauban;Toyota - Edenauto - Montauban 150 Imp. de Monaco 82000 Montauban;43.99053989999999,1.3339306;82000;MONTAUBAN;;05 63 03 12 12;;;https://www.toyota.fr/;https://www.color-stickers.com/2075-thickbox_default/stickers-logo-toyota-4x4.jpg
ENT-0024;VDL Service 82;Concession automobile;16 zi de l'artel lieux dit barrouet 82100 Castelsarrasin;VDL Service 82 16 zi de l'artel lieux dit barrouet 82100 Castelsarrasin;44.0652958,1.0993903;82100;CASTELSARRASIN;;05 63 32 52 09;;contact@vdls82.fr;https://camping-car-caravane-82.fr/;https://camping-car-caravane-82.fr/wp-content/uploads/2026/07/logo-camping-car-caravane-scaled.png
ENT-0025;MIDI-AUTO - Agence Renault;Concession automobile;1630 Route de Bordeaux 82000 Montauban;MIDI-AUTO - Agence Renault 1630 Route de Bordeaux 82000 Montauban;44.030653,1.3179749;82000;MONTAUBAN;;05 63 63 51 03;;;https://www.renault.fr/;https://upload.wikimedia.org/wikipedia/commons/b/b7/Renault_2021_Text.svg?utm_source=fr.wikipedia.org&utm_campaign=index&utm_content=original
ENT-0026;FORD MONTAUBAN - AUTOS SETAM 82;Concession automobile;1724 Av. d'Espagne 82000 Montauban;FORD MONTAUBAN - AUTOS SETAM 82 1724 Av. d'Espagne 82000 Montauban;43.9915021,1.3365755;82000;MONTAUBAN;;05 63 23 03 03;;;https://www.ford-montauban.fr/;https://cdnwp.dealerk.com/299b467c/uploads/sites/2/2025/12/ford-logo_global_nav_DSe.svg
ENT-0027;PEUGEOT MONTAUBAN - MACARD;Concession automobile;1825 Route du N 82000 Montauban;PEUGEOT MONTAUBAN - MACARD 1825 Route du N 82000 Montauban;44.0483838,1.3936421;82000;MONTAUBAN;;05 63 04 58 99;;;https://www.peugeot.fr/;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1f0uizSEwKJ_K4kJS-8ZdqnPb1yCM8it8Gd8Jl6N-vg&s=10
ENT-0028;RENAULT  - DACIA  (Faurie automobile);Concession automobile;2 Route de Toulouse 82100 Castelsarrasin;RENAULT  - DACIA  (Faurie automobile) 2 Route de Toulouse 82100 Castelsarrasin;44.0356944,1.1145432;82100;CASTELSARRASIN;;05 63 32 71 00;;e.eliseon@faurie.fr;https://www.renault.fr/;https://api.club.ffr.fr/cabrive-association/wp-content/uploads/sites/37/2020/03/Faurie.png
ENT-0029;AIXAM DE RAED & Fils;Concession automobile;22 Bd Marceau Fauré 82100 Castelsarrasin;AIXAM DE RAED & Fils 22 Bd Marceau Fauré 82100 Castelsarrasin;44.035855,1.1094862;82100;CASTELSARRASIN;;05 63 95 08 90;;;https://www.voiture-sans-permis82.fr/;https://www.voiture-sans-permis82.fr/wp-content/themes/aixamv4/assets/img/logo.png
ENT-0030;ISUZU GUY DE RAED (CUO DE RAED et Fils);Concession automobile;22 Boulevard Marceau Faure 82100 Castelsarrasin;ISUZU GUY DE RAED (CUO DE RAED et Fils) 22 Boulevard Marceau Faure 82100 Castelsarrasin;44.035855,1.1094862;82100;CASTELSARRASIN;M. DE RAED Benjamin;05 63 95 08 90;07 88 37 21 17;benjamin.deraed@monpickup-deraed.fr;https://www.isuzu.fr/trouvez-votre-distributeur;https://logos-marques.com/wp-content/uploads/2021/02/Isuzu-Logo.jpg
ENT-0031;PEUGEOT MACARD CASTEL-MOISSAC;Concession automobile;22 Chem. de Caussade-Bas 82100 Castelsarrasin;PEUGEOT MACARD CASTEL-MOISSAC 22 Chem. de Caussade-Bas 82100 Castelsarrasin;44.0752898,1.0935701;82100;CASTELSARRASIN;;05 63 95 16 16;;;https://www.peugeot.fr/;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCM3VWICFGUz85ezYLKCKMqsPsZpY7hRW-142yPhen4w&s=10
ENT-0032;Hyundai Montauban - Pierre Guirado Automobiles;Concession automobile;300 Route du N 82005 Montauban;Hyundai Montauban - Pierre Guirado Automobiles 300 Route du N 82005 Montauban;44.0375448,1.3816704;82000;MONTAUBAN;;05 63 03 42 06;;;https://www.hyundai.com/fr/fr/distributeurs.html/;https://www.1min30.com/wp-content/uploads/2019/02/Hyundai-Logo-1.jpg
ENT-0033;Agence Renault - Relais du Chasselas;Concession automobile;43 Av. du Chasselas 82200 Moissac;Agence Renault - Relais du Chasselas 43 Av. du Chasselas 82200 Moissac;44.1099433,1.102576;82200;MOISSAC;;05 63 04 07 89;;;https://www.renault.fr/;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFMw5HAdtpZLyXenGri91VxU41_Pn4B_NAqk3dyenZGw&s=10
ENT-0034;Garage Citroën;Concession automobile;46 Av. du Maréchal Leclerc 82100 Castelsarrasin;Garage Citroën 46 Av. du Maréchal Leclerc 82100 Castelsarrasin;44.047958,1.1030939;82100;CASTELSARRASIN;M.VACQUIE Philippe;05 63 32 34 18;;;https://reseau.citroen.fr/reparateur-castelsarrasin-01/?location=CASTELSARRASIN%7C0&utm_source=gmb;https://images.caradisiac.com/images/0/5/6/7/110567/S0-un-nouveau-logo-pour-citroen-388873.jpg
ENT-0035;PEUGEOT RAPIDE MOISSAC - MACARD;Concession automobile;Rue Benjamin Franklin 82200 Moissac;PEUGEOT RAPIDE MOISSAC - MACARD Rue Benjamin Franklin 82200 Moissac;44.115326,1.111787;82200;MOISSAC;;05 63 04 17 81;;;https://www.peugeot.fr/;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1f0uizSEwKJ_K4kJS-8ZdqnPb1yCM8it8Gd8Jl6N-vg&s=10
ENT-0036;Volkswagen Montauban- Autopole Maurel;Concession automobile;Z.A Albasud Imp. de Monaco 82000 Montauban;Volkswagen Montauban- Autopole Maurel Z.A Albasud Imp. de Monaco 82000 Montauban;43.989721,1.332692;82000;MONTAUBAN;;05 63 23 02 05;;;https://volkswagen-montauban.maurelauto.fr/;https://drive.google.com/file/d/1bEeT4uTnNLD1TtMkyRrSTpPoJOiRsBYs/view?usp=sharing
ENT-0037;NISSAN MONTAUBAN - GROUPE PEYROT;Concession automobile;ZAC Alba Sud - Avenue de l'Europe Avenue de l'Europe 82000 Montauban;NISSAN MONTAUBAN - GROUPE PEYROT ZAC Alba Sud - Avenue de l'Europe Avenue de l'Europe 82000 Montauban;43.986894,1.3305936;82000;MONTAUBAN;;05 63 02 28 00;;;https://www.nissan.fr/;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTSJ7HfClDNfUa_yJM3F_zczoFHzu2-xX4ejqat_l_jA&s=10
ENT-0038;MERCEDES HAMECHER MONTAUBAN;Concession automobile;ZI Albasud, 40 Imp. de Maastricht, 82000 Montauban;MERCEDES HAMECHER MONTAUBAN ZI Albasud, 40 Imp. de Maastricht, 82000 Montauban;43.9774676,1.3347214;82000;MONTAUBAN;;05 63 23 07 70;;;https://hamecher.fr/;https://lh3.googleusercontent.com/p/AF1QipPD-yfIab68gkW3Bmtep0Swj_erJZujQa0bpPS2=s680-w680-h510
ENT-0040;Sarl Garage St Michel - Citroën;Concession automobile;zi saint michel 30 Rue des Cerises 82200 Moissac;Sarl Garage St Michel - Citroën zi saint michel 30 Rue des Cerises 82200 Moissac;44.11125,1.10601;82200;MOISSAC;;05 63 04 58 99;;;https://www.citroen.fr;https://images.caradisiac.com/images/0/5/6/7/110567/S0-un-nouveau-logo-pour-citroen-388873.jpg
ENT-0041;Renault Faurie Truck;Concession automobile;Zone Artisanale Marches 82100 Castelsarrasin;Renault Faurie Truck Zone Artisanale Marches 82100 Castelsarrasin;44.055445,1.092817;82100;CASTELSARRASIN;;05 63 05 09 73;;jf.ruhant@faurie.fr;https://www.faurie-trucks.fr/renault-trucks-castelsarrasin/;https://www.mecajob.fr/wp-content/uploads/2/2020/02/57a1ae84c47d2-1519222453.jpg
ENT-0042;Nocibé - MONTAUBAN;Cosmétique - Parfumerie; 17 Rue Jules Michelet 82000 Montauban;Nocibé - MONTAUBAN  17 Rue Jules Michelet 82000 Montauban;44.0169198,1.355778;82000;MONTAUBAN;; 05 63 91 99 96;;;www.nocibe.fr;https://drive.google.com/file/d/1XwnJAIkEpqCm_paInxESCF6YRRlK1TaB/view?usp=share_link
ENT-0043;Nocibé ;Cosmétique - Parfumerie;1400 Route de Moissac 82100 Castelsarrasin;Nocibé  1400 Route de Moissac 82100 Castelsarrasin;44.0642746,1.0974081;82100;CASTELSARRASIN;;"05 63 04 52 74
";;;http://nocibe.fr/;https://upload.wikimedia.org/wikipedia/commons/0/03/Logo_Nocibe.svg?utm_source=fr.wikipedia.org&utm_campaign=index&utm_content=original
ENT-0044;Marionnaud-Parfumerie;Cosmétique - Parfumerie;6 Rue Jules Michelet 82000 Montauban;Marionnaud-Parfumerie 6 Rue Jules Michelet 82000 Montauban;44.0170058,1.3547984;82000;MONTAUBAN;;05 63 63 02 14;;;www.marionnaud.fr;https://media.marionnaud.fr/medias/sys_master/images/he5/h5e/12493277298718/Marionnaud-logo/Marionnaud-logo.png
ENT-0045;Parfumerie Furlan;Cosmétique - Parfumerie;7 Allée du 4 Septembre 82400 Valence d'Agen;Parfumerie Furlan 7 Allée du 4 Septembre 82400 Valence d'Agen;44.1079346,0.8907997000000001;82400;VALENCE D'AGEN;;05 63 29 03 06;;;http://www.parfumerie-valence-agen.fr/;http://www.parfumerie-valence-agen.fr/img/logoOK.jpg
ENT-0046;Beauty Success;Cosmétique - Parfumerie;centre commercial Leclerc Aussonne, 82000 Montauban;Beauty Success centre commercial Leclerc Aussonne, 82000 Montauban;44.0383817,1.380087;82000;MONTAUBAN;;05 63 91 85 50;;;https://www.beautysuccess.fr/nos-points-de-vente/montauban/024;https://www.beautysuccess.fr/static/version1788847165/frontend/BeautySuccess/Default/fr_FR/images/logo_noflag.svg
ENT-0047;Yves Rocher ;Cosmétique - Parfumerie;9 Rue de la République82200 Moissac;Yves Rocher  9 Rue de la République82200 Moissac;44.1043206,1.084903;82200;MOISSAC;;05 63 93 73 85 ;;;yves-rocher.fr ;https://www.centre-commercial.fr/carrefour-salaise/wp-content/uploads/sites/18/2014/09/200.png
ENT-0048;Nocibé - MONTAUBAN SAPIAC;Cosmétique - Parfumerie;Galerie marchande Leclerc Sapiac l'Abbaye, Rue de l'Abbaye, 82000 Montauban, France;Nocibé - MONTAUBAN SAPIAC Galerie marchande Leclerc Sapiac l'Abbaye, Rue de l'Abbaye, 82000 Montauban, France;44.0052108,1.3546968;82000;MONTAUBAN;;05 63 63 52 78;;;www.nocibe.fr;https://upload.wikimedia.org/wikipedia/commons/0/03/Logo_Nocibe.svg?utm_source=fr.wikipedia.org&utm_campaign=index&utm_content=original
ENT-0049;Nocibé - MOISSAC;Cosmétique - Parfumerie;Route de Lafrançaise 82200 Moissac;Nocibé - MOISSAC Route de Lafrançaise 82200 Moissac;44.00545169999999,1.354873;82200;MOISSAC;;05 63 32 38 09;;;http://www.nocibe.fr/;https://drive.google.com/file/d/1XwnJAIkEpqCm_paInxESCF6YRRlK1TaB/view?usp=share_link
ENT-0050;Roady;Entretien automobile;200 Route du Nord 82000 Montauban;Roady 200 Route du Nord 82000 Montauban;44.03702699999999,1.3814442;82000;MONTAUBAN;;05 35 54 19 68;;;https://www.roady-montauban.fr/;https://www.roady-montauban.fr/docs/abonnements/13/roady-montauban-centre-auto-min.jpg
ENT-0051;Feu vert Castelsarrasin;Entretien automobile;28 rue de terre blanche 82100 Castelsarrasin;Feu vert Castelsarrasin 28 rue de terre blanche 82100 Castelsarrasin;44.0618827,1.0973941;82100;CASTELSARRASIN;;05 63 04 49 55;;;https://www.feuvert.fr/centres-auto/castelsarrasin/feu-vert-castelsarrasin/457.html;https://tse4.mm.bing.net/th?id=OIP.gKWJOuh3R9M9mJ0a1q_w3gHaHa&pid=Api&P=0
ENT-0052;ALLIANCE AUTO INDUSTRIE;Entretien automobile;201 Av. Jacques Douzans, 31600 Muret, France;ALLIANCE AUTO INDUSTRIE 201 Av. Jacques Douzans, 31600 Muret, France;43.4738455,1.3302779;31600;MURET;;05 61 51 12 28 ;;jrenard@accipro.fr;https://distributeur.groupauto.fr/593-alliance-auto-industrie-muret;https://www.pagesjaunes.fr/media/agc/crop/100x100/74/ac/3b/00/00/f9/ab/68/a3/bd/5be074ac3b0000f9ab68a3bd/00102108_V1_0000.jpg?v=2
