ID;Raison Sociale;Activité;Adresse;Localisation;Coordinates;CODE POSTAL;Secteur géographique;Responsable de l'entreprise;Téléphone entreprise;Téléphone Portable;Mail;Site internet de l'entreprise;Logo
ENT-0001;Agence CENTURY 21 Riquelme Immobilier;Agence Immobilière ;1029 Boulevard Blaise Doumerc 82000 Montauban;"=CONCATENATE(A2,"" "",C2)";44.0210145,1.3617315;82000;MONTAUBAN;Nicolas RIQUELME;05 63 91 63 33;;;https://www.century21riquelmeimmobilier.com/;https://www.century21-aravis-grand-bornand.com/imagesBien/202/225/v5/1539619140.jpg
ENT-0002;Agence Nestenn Immobilier Montauban Lacapelle;Agence Immobilière ;119 Fbg Lacapelle 82000 Montauban;"=CONCATENATE(A3,"" "",C3)";44.01519210000001,1.3573252;82000;MONTAUBAN;;05 63 20 36 02;;;https://immobilier-montauban-lacapelle.nestenn.com/;https://lh6.googleusercontent.com/-uCEdQD_k78c/AAAAAAAAAAI/AAAAAAAAAAA/iIfQzNv2zwU/s44-p-k-no-ns-nd/photo.jpg
ENT-0003;Agence Immobilière Montauban : ARTHURIMMO Grand Montauban;Agence Immobilière ;12 Place Franklin Roosevelt 82000 Montauban;"=CONCATENATE(A4,"" "",C4)";44.0156684,1.3538847;82000;MONTAUBAN;;05 82 17 01 20;;;https://www.arthurimmo.com/immobilier/tout/immo-montauban-82;https://lh3.googleusercontent.com/-1iTqiaNbdGU/AAAAAAAAAAI/AAAAAAAAAAA/CyhMrN3cdlQ/s44-p-k-no-ns-nd/photo.jpg
ENT-0004;Human Immobilier Montauban;Agence Immobilière ;14 Place Franklin Roosevelt 82000 Montauban;"=CONCATENATE(A5,"" "",C5)";44.0159639,1.3541017;82000;MONTAUBAN;;05 63 66 07 72;;;https://www.human-immobilier.fr/montauban-centre?utm_source=google&utm_medium=seo&utm_campaign=google_my_business_achat;https://www.pagesjaunes.fr/media/agc/crop/100x100/07/8c/b2/00/00/96/37/97/c1/9d/62b3078cb20000963797c19d/62b3078cb20000963797c19e.png?v=2
ENT-0005;JARDIN IMMOBILIER;Agence Immobilière ;14 place Prax Paris 82000 Montauban;"=CONCATENATE(A6,"" "",C6)";44.0184086,1.3571495;82000;MONTAUBAN;;05 63 63 37 40;;;;https://lh5.googleusercontent.com/p/AF1QipOmUAO6I6-a3Eo6gpUybW19HYqpZxUUb3kgeGw6=w500-h500-k-no
ENT-0006;Agence Immobilière LAFORET Montauban;Agence Immobilière ;15 Allée. de l'Empereur 82000 Montauban;"=CONCATENATE(A7,"" "",C7)";44.0170633,1.3565251;82000;MONTAUBAN;;05 63 91 76 26;;;http://www.laforet.com/agence-immobiliere/montauban;https://www.pagesjaunes.fr/media/agc/crop/100x100/4e/6e/87/00/00/a7/2b/20/ad/e2/61fe4e6e870000a72b20ade2/61fe4e6e870000a72b20ade3.png?v=2
ENT-0007;DLimmobilier Dompeyre ;Agence Immobilière ;15 Rue du marché  82200 Moissac;"=CONCATENATE(A8,"" "",C8)";44.1029845,1.0867956;82200;MOISSAC;David Lestrade;05 63 04 01 75;;moissac@dompeyre-lestrade.com;http://www.dompeyre-immobilier.com;https://www.pagesjaunes.fr/media/agc/crop/200x200/96/bc/66/00/00/1a/e0/75/15/a1/603f96bc6600001ae07515a1/603f96bc6600001ae07515a2.jpg?v=2
ENT-0008;ORPI Teddy Immobilier Montauban;Agence Immobilière ;17 Avenue Gambetta 82000 Montauban;"=CONCATENATE(A9,"" "",C9)";44.0166867,1.3581855;82000;MONTAUBAN;;05 63 63 35 36;;;https://www.orpi.com/teddyimmobilier/;https://www.pagesjaunes.fr/media/agc/crop/200x200/09/6b/df/00/00/64/ef/4d/16/c8/61ae096bdf000064ef4d16c8/61ae096bdf000064ef4d16c9.png?v=2
ENT-0009;Human Immobilier Montauban Villenouvelle;Agence Immobilière ;2 Avenue du 11E d'Infanterie 82000 Montauban;"=CONCATENATE(A10,"" "",C10)";44.0223733,1.3553942;82000;MONTAUBAN;;05 63 03 87 00;;;https://www.human-immobilier.fr/montauban-villenouvelle?utm_source=google&utm_medium=seo&utm_campaign=google_my_business_achat;https://www.pagesjaunes.fr/media/agc/crop/100x100/07/8c/b2/00/00/96/37/97/c1/9d/62b3078cb20000963797c19d/62b3078cb20000963797c19e.png?v=2
ENT-0010;Castel Immo ;Agence Immobilière ;2 bis Rue Edouard Herriot 82100 Castelsarrasin;"=CONCATENATE(A11,"" "",C11)";44.0398906,1.1080931;82100;CASTELSARRASIN;GAINZA dominique;05 63 32 73 21;;castelimmobilier.vente@orange.fr;https://www.castelimmobilier.com/;https://castelsarrasin-immobilier.fr/wp-content/uploads/2021/10/header-logo.png
ENT-0011;Selection Habitat ;Agence Immobilière ;20 Allée de l'empereur 82200 Montauban;"=CONCATENATE(A12,"" "",C12)";44.0176467,1.3572098;82000;MONTAUBAN;;05 63 22 94 25;;;https://www.selectionhabitat.com/;https://www.selectionhabitat.com/images/logo.png
ENT-0012;IMMO POUR TOUS;Agence Immobilière ;26 Rue du général Gras 82200 Moissac;"=CONCATENATE(A13,"" "",C13)";44.1046136,1.0892457;82200;MOISSAC;;05 63 04  11 82;;contact@immo-pour-tous.net;https://www.immo-pour-tous.net/;https://lh5.googleusercontent.com/p/AF1QipMAQL3okLrQ7JcaSpkEWqJRk9Vz8cCqEkb9CIKq=w500-h500-k-no
ENT-0013;Orpi Moissac ;Agence Immobilière ;3 Boulevard  Camille Delthil 82200 Moissac;"=CONCATENATE(A14,"" "",C14)";44.1026707,1.0866251;82200;MOISSAC;ROUX francine;05 63 05 10 10;06 29 43 17 82;moissacimmobilier@orpi.com;http://www.orpi.com/moissacimmobilier;https://drive.google.com/file/d/1h59Euf5szcW5E0PIhMASPcxwi-Xpy3kF/view?usp=share_link
ENT-0014;Agence immobilière Guy Hoquet MONTAUBAN;Agence Immobilière ;40 Avenue Gambetta 82000 Montauban;"=CONCATENATE(A15,"" "",C15)";44.018068,1.3593198;82000;MONTAUBAN;;05 63 03 88 10;;;https://montauban.guy-hoquet.com/;https://www.pagesjaunes.fr/media/agc/crop/200x200/0f/d0/40/00/00/cd/01/da/1f/43/5d360fd0400000cd01da1f43/5d360fd0400000cd01da1f44.jpg?v=2
ENT-0015;Agence Chabrol Immobilier Montauban;Agence Immobilière ;416 Avenue Jean Moulin 82000 Montauban;"=CONCATENATE(A16,"" "",C16)";44.0265462,1.367177;82000;MONTAUBAN;;05 63 63 66 05;;;https://www.chabrol-immobilier.com/fr/agence/2/chabrol-immobilier-montauban;https://drive.google.com/file/d/1piv62LWPtdc2_V3j9po-Dyw1vfbH5RjE/view?usp=share_link
ENT-0016;Escalimmo sarl nh'immo;Agence Immobilière ;5 Avenue du Chasselas  82200 Moissac;"=CONCATENATE(A17,"" "",C17)";44.1073647,1.0966218;82200;MOISSAC;Alexandre Lafon ;05 63 32 44 93;;;http://www.escalimmo.com;https://www.pagesjaunes.fr/media/ugc/nh_immo_08211200_103012998?w=200&h=200&crop=true
ENT-0017;Agence Nestenn Immobilier Montauban Gambetta;Agence Immobilière ;52 Avenue Gambetta 82000 Montauban;"=CONCATENATE(A18,"" "",C18)";44.0188354,1.3596925;82000;MONTAUBAN;;05 63 20 76 60;;;https://immobilier-montauban-gambetta.nestenn.com/;https://thumbor.meilleursagents.com/aOwVEggk47j0IzACnywN_XU4Ifc=/fit-in/180x120/filters:fill(white)/realtors/f0/19/f019ffb2123876a7889f3677b5cfee9ec3e78e3f.43375.png
ENT-0018;Human immobilier Castelsarrasin;Agence Immobilière ;64 Rue de l'égalité 82100 CASTELSARRASIN;"=CONCATENATE(A19,"" "",C19)";44.0395328,1.1078569;82100;CASTELSARRASIN;Desbouges;05 63 05 08 20;06 76 80 46 19;castelsarrasin@bourse-immobilier.fr;https://www.human-immobilier.fr/castelsarrasin?utm_source=google&utm_medium=seo&utm_campaign=google_my_business_achat;https://lh5.googleusercontent.com/p/AF1QipPuO8cou4UPxvSRozRQQh4AGKW0HezMji5FIiBk=w408-h306-k-no
